contrast	library	term	nes	nominal_p	fdr	leading_edge_genes
SoravsNC	GO_Biological_Process_2025	G1/S Transition of Mitotic Cell Cycle (GO:0000082)	-1.69583837532	0.00347826086957	0.041727751923	MYC;BCAT1;EIF4EBP1;GSPT1;PLK3;CCND1;CCNJ;E2F3;EIF4E;CDC25A;RCC1;CUL3;TRIM71;CCND3;CCNJL;CCNE1;CDK4;LATS2;CDK2;CUL2;LATS1;CUL4A
SoravsNC	GO_Biological_Process_2025	Glycolytic Process (GO:0006096)	1.74708722004	0	0.0457953080833	PKLR;PGM1;ENO3;ALDOC;PFKL;TPI1;GAPDH;HOOK2;LDHA;PGK1;ENO2;HOOK3;PFKFB1;ENO1
SoravsNC	GO_Biological_Process_2025	Hematopoietic Progenitor Cell Differentiation (GO:0002244)	-1.68711765635	0.0111731843575	0.0434422032918	FST;TGFB1;BMP4;MIXL1;SBDS;ARMC6
SoravsNC	GO_Biological_Process_2025	Hemopoiesis (GO:0030097)	-1.6930704165	0.0016835016835	0.0419201701244	JAG1;SH2B3;CEBPB;TGFBR3;FST;TGFBR2;ATF4;TGFB1;BMP4;MIXL1;SBDS;ARMC6;RUNX1;ARIH2;ASH2L
SoravsNC	GO_Biological_Process_2025	High-Density Lipoprotein Particle Remodeling (GO:0034375)	1.71750946858	0.00652173913043	0.048591142354	APOC3;APOA1;APOE;LCAT;LIPC;SCARB1;APOC1;APOA4
SoravsNC	GO_Biological_Process_2025	Import Into Nucleus (GO:0051170)	-1.99267998627	0	0.00158755115136	IPO4;NUP155;NUP153;KPNB1;NUP50;RAN;KPNA4;TNPO2;NPM1;NUP93;TNPO1;FAM53B;NUP188;E2F3;CSE1L;IPO7;NUP98;TNPO3;HEATR3;STK4;NUTF2;NUP88;AKT1;NUP62;AKIRIN2;TERT;IPO11;STK24;POM121C;MAP4K5;POM121;SEC13;SIRT6;SNUPN
SoravsNC	GO_Biological_Process_2025	Integrated Stress Response Signaling (GO:0140467)	-1.75575625442	0.00186567164179	0.0249913973353	JUN;CEBPB;NFE2L2;ATF4;ATAD3A;FOSL1;CEBPG;EIF2S1;FOS;DDIT3;GCN1
SoravsNC	GO_Biological_Process_2025	Intracellular Protein Transport (GO:0006886)	-1.70424724311	0	0.0385231162259	AKR1B10;HSPA9;HSPA4;ARHGEF2;XPO6;TGFB1;IPO4;TOMM40;TIMM44;TIMM23;NUP155;NUP153;ARF6;HSP90AA1;KPNB1;STX3;XPO5;NUP50;GRPEL2;RAN;ARF4;XPO4;KPNA4;DESI2;CHORDC1;TNPO2;CALR;NPM1;NUP93;RAB35;TNPO1;FAM53B;NUP188;E2F3;CSE1L;IPO7;NUP98;TIMM17A;TOMM5;YWHAH;TNPO3;TMED3;ARCN1;ARL4D;RAB7A;HEATR3;STK4;MTX2;XPO1;TIMM13;RANBP3;SEC16A;SNX8;NUTF2;NUP88;GRPEL1;TIMM50;AKT1;HGS;STAM;TMED9;VPS33A;ARF3;TIMM22;TIMM8B;RAB21;TOMM22;NUP62;TIMM10;VPS25;AKIRIN2;TERT;CTTN;SURF4;ARF1;SNF8;IPO11;TMED2;VPS37C;TIMM9;SMURF1;COPB2;STK24;POM121C;PAM16;SCFD2;TOMM70;MAP4K5;PKD1;DNAJC15;POM121;STX6;SEC13;STEEP1;VPS37B;PEX5;SIRT6;PDCD6;SIL1;NGFR;RAB1A;NUP42;RAB5C;TIMM10B;TOMM20;VPS13A;PIK3R4;TMED7;RAB1B;ARFIP1;SLU7;TMED1;AGK;EGR2;PHB2;TIMM21
SoravsNC	GO_Biological_Process_2025	Intrinsic Apoptotic Signaling Pathway (GO:0097193)	-1.71964690101	0.00170357751278	0.033388185152	EPHA2;TRIB3;CEBPB;PPP1R15A;MCL1;MYBBP1A;ATF4;BCL2L1;ERN1;TNFRSF10B;DNAJC10;CYCS;DDX5;REXO2;PMAIP1;HSPE1;DDIT3;PRKDC;E2F1;IKBKE;TANK;CUL3;BAK1;HIC1;ZNF622;DDX3X;GSKIP
SoravsNC	GO_Biological_Process_2025	Intrinsic Apoptotic Signaling Pathway in Response to Endoplasmic Reticulum Stress (GO:0070059)	-1.76407972351	0	0.0234825274472	TRIB3;CEBPB;PPP1R15A;ATF4;ERN1;TNFRSF10B;DNAJC10;DDIT3;TANK;BAK1
